Date,MUC_id,Location_meters,Total_Weight_grams,Fur_grams,Bones_grams,Other_grams
11/3/17,1 MUC 4322,39,2.1,1.5,0.01,0
11/3/17,1 MUC 4322,-120,13,2.2,0.2,10.6
11/3/17,1 MUC 4322,-39.2,2.4,1.5,0.01,0.95
11/3/17,1 MUC 4322,-12,5.6,5.48,0.12,0
11/3/17,3 MUC 4361,-28.3,8.3,7.91,1.37,0
11/3/17,2 MUC 4361,-74.5,51.8,50.65,0.32,0
11/3/17,2 MUC 4361,-22.85,6.9,6.13,1.38,0
11/3/17,2 MUC 4361,-85.8,13.7,11.9,1.8,0
11/17/17,1 MUC 4322,-14.5,4.2,3.11,0.48,0
11/17/17,3 MUC 4361,-7.2,3.4,0,0,3.08
11/17/17,2 MUC 4361,-91.8,7.7,6.54,0.19,0
11/17/17,4 MUC 4211,5.8,1.6,NaN,NaN,NaN
11/17/17,4 MUC 4211,-14,41.84,0,0,35.1
11/17/17,4 MUC 4211,42.7,15.35,NaN,NaN,NaN
